app,module,source_text,current_translation,proposed_translation,context,source_reference,doctype_or_view,field_or_action,translation_context,status,notes,msgctxt,origin_app,po_reference,v15_reference,placeholders,pluralization,v15_translation,es_mx_reference,es_mx_translation,source_kind,user_role,functional_domain
frappe,Email,{0} is required,,{0} es obligatorio,Plataforma,frappe/email/doctype/email_account/email_account.py:304,Email Account,mensaje de validación,,traducción propuesta,Preservar placeholder {0}; concordancia de género depende del sustantivo → nota para revisor.,,frappe,frappe/email/doctype/email_account/email_account.py:304,,{0},,,,,doctype-controller,todos,Plataforma
frappe,,No records found,,No se encontraron registros,Plataforma,,,mensaje,,traducción propuesta,,,frappe,,,,,,,,no-encontrada-en-catalogo,todos,Plataforma
frappe,,Are you sure you want to delete {0}?,,¿Seguro que deseas eliminar {0}?,Plataforma,,,diálogo,,traducción propuesta,Preservar {0}.,,frappe,,,,,,,,no-encontrada-en-catalogo,todos,Plataforma
frappe,Core,Filter,Filtrar,Filtrar,Plataforma,frappe/core/doctype/prepared_report/prepared_report.js:8,Prepared Report,botón/acción,,existente correcta,Como acción es verbo 'Filtrar' (no el sustantivo 'Filtro').,,frappe,frappe/core/doctype/prepared_report/prepared_report.js:8,,,,,,,doctype-controller,todos,Plataforma
frappe,Core,Report,,Reporte,Reportes,frappe/core/doctype/custom_docperm/custom_docperm.json,Custom Docperm,página,,traducción propuesta,MX: 'Reporte' preferible a 'Informe' en contexto empresarial mexicano.,,frappe,frappe/core/doctype/custom_docperm/custom_docperm.json,,,,,,,doctype-json,todos,Reportes
frappe,Core,Enabled,Habilitado,Habilitado,Plataforma,frappe/core/doctype/language/language.json,Language,estado/opción,,existente correcta,,,frappe,frappe/core/doctype/language/language.json,,,,,,,doctype-json,admin,Plataforma
frappe,Automation,Disabled,Deshabilitado,Deshabilitado,Plataforma,frappe/automation/doctype/assignment_rule/assignment_rule.json,Assignment Rule,estado/opción,,existente correcta,,,frappe,frappe/automation/doctype/assignment_rule/assignment_rule.json,,,,,,,doctype-json,admin,Plataforma
frappe,Core,Print,,Imprimir,Plataforma,frappe/core/doctype/custom_docperm/custom_docperm.json,Custom Docperm,botón/acción,,traducción propuesta,msgid con 2 contextos en el catálogo (posible conflicto).,,frappe,frappe/core/doctype/custom_docperm/custom_docperm.json,,,,,,,doctype-json,todos,Plataforma
frappe,Core,Email,,Correo electrónico,Plataforma,frappe/core/doctype/communication/communication.json,Communication,botón/acción,,traducción propuesta,"Si la traducción actual es 'Email' (igual al inglés), MX prefiere 'Correo electrónico'.",,frappe,frappe/core/doctype/communication/communication.json,,,,,,,doctype-json,todos,Plataforma
frappe,Core,Attach,Adjuntar,Adjuntar,Plataforma,frappe/core/doctype/docfield/docfield.json,Docfield,botón/acción,,existente correcta,,,frappe,frappe/core/doctype/docfield/docfield.json,,,,,,,doctype-json,todos,Plataforma
frappe,Core,Comment,Comentario,Comentario,Plataforma,frappe/core/doctype/comment/comment.json,Comment,acción/campo,,existente correcta,,,frappe,frappe/core/doctype/comment/comment.json,,,,,,,doctype-json,todos,Plataforma
frappe,Public,Today,Hoy,Hoy,Plataforma,frappe/public/js/frappe/form/controls/date.js:58,,opción de fecha,,existente correcta,,,frappe,frappe/public/js/frappe/form/controls/date.js:58,,,,,,,client-js,todos,Plataforma
frappe,Public,Yesterday,Ayer,Ayer,Plataforma,frappe/public/js/frappe/ui/filters/filter.js:726,,opción de fecha,,existente correcta,,,frappe,frappe/public/js/frappe/ui/filters/filter.js:726,,,,,,,client-js,todos,Plataforma
frappe,Desk,Last Month,El mes pasado,Mes Pasado,Reportes,frappe/desk/doctype/dashboard_chart/dashboard_chart.json,Dashboard Chart,opción de rango,,existente mejorable,,,frappe,frappe/desk/doctype/dashboard_chart/dashboard_chart.json,,,,,,,doctype-json,todos,Reportes
frappe,,You do not have permission to access this document,,No tienes permiso para acceder a este documento,Plataforma,,,mensaje de error,,traducción propuesta,Mensaje de permisos frecuente.,,frappe,,,,,,,,no-encontrada-en-catalogo,todos,Plataforma
frappe,Core,API,API,API,Plataforma,frappe/core/doctype/server_script/server_script.json,Server Script,opción/etiqueta,,existente mejorable,"'Igual al inglés' pero CORRECTO: acrónimo técnico, no se traduce. Ejemplo del filtro humano necesario. Traducción actual IGUAL al inglés (sin traducir efectivamente).",,frappe,frappe/core/doctype/server_script/server_script.json,,,,,,,doctype-json,admin,Plataforma
frappe,Core,ASC,ASC,ASC,Plataforma,frappe/core/doctype/doctype/doctype.json,Doctype,opción (orden),,existente mejorable,Token de ordenamiento ascendente; correcto sin traducir. Traducción actual IGUAL al inglés (sin traducir efectivamente).,,frappe,frappe/core/doctype/doctype/doctype.json,,,,,,,doctype-json,admin,Plataforma
erpnext,Src,Posting Date,Fecha de Contabilización,Fecha de Contabilización,Contabilidad,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:398,,campo (label),,existente correcta,Término contable estándar MX. v15 igual.,,erpnext,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:398,erpnext/translations/es.csv,,,Fecha de Contabilización,,,code,contable,Contabilidad
erpnext,Accounts,Return,Retornar,Devolución,Ventas/Compras,erpnext/accounts/doctype/pos_invoice/pos_invoice.js:79,Pos Invoice,botón/acción,,conflicto de contexto,CONFLICTO: en ventas/compras 'Return' = Devolución (nota de crédito); v16 lo tiene como 'Retornar' (acción). Separar por msgctxt según uso.,,erpnext,erpnext/accounts/doctype/pos_invoice/pos_invoice.js:79,erpnext/translations/es.csv,,,Retornar,,,doctype-controller,comercial,Ventas/Compras
erpnext,Src,Debit,Debe,Debe,Contabilidad,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:198,,campo,,existente correcta,Terminología contable partida doble. v15: Debe.,,erpnext,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:198,erpnext/translations/es.csv,,,Debe,,,code,contable,Contabilidad
erpnext,Src,Credit,Haber,Haber,Contabilidad,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:199,,campo,,existente correcta,v15: Haber.,,erpnext,banking/src/components/features/ActionLog/ActionLogDialogBody.tsx:199,erpnext/translations/es.csv,,,Haber,,,code,contable,Contabilidad
erpnext,Accounts,Journal Entry,Asiento contable,Asiento Contable,Contabilidad,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:58,Accounts Settings,DocType/título,,existente mejorable,MX contable: 'Asiento Contable' (v15) mejor que 'Entrada de Diario'. Posible regresión si v16 cambió.,,erpnext,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:58,erpnext/translations/es.csv,,,Asiento contable,,,doctype-controller,contable,Contabilidad
erpnext,Src,Payment Entry,Entrada de pago,Registro de Pago,Tesorería,banking/src/components/features/BankReconciliation/Rules/RuleForm.tsx:271,,DocType/título,,existente mejorable,v15: 'Entrada de pago'. 'Registro de Pago' más natural. Revisar consistencia con 'Entry'.,,erpnext,banking/src/components/features/BankReconciliation/Rules/RuleForm.tsx:271,erpnext/translations/es.csv,,,Entrada de pago,,,code,contable,Tesorería
erpnext,Accounts,Stock Entry,Entradas de inventario,Movimiento de Inventario,Inventarios,erpnext/accounts/doctype/journal_entry/journal_entry.json,Journal Entry,DocType/título,,existente mejorable,v15: 'Entradas de inventario' (impreciso: cubre entradas y salidas). 'Movimiento de Inventario' más exacto.,,erpnext,erpnext/accounts/doctype/journal_entry/journal_entry.json,erpnext/translations/es.csv,,,Entradas de inventario,,,doctype-json,inventario,Inventarios
erpnext,Accounts,Outstanding Amount,Monto pendiente,Importe Pendiente,Cuentas por Cobrar,erpnext/accounts/doctype/cashier_closing/cashier_closing.json,Cashier Closing,campo,,existente mejorable,MX: 'Importe/Saldo Pendiente'.,,erpnext,erpnext/accounts/doctype/cashier_closing/cashier_closing.json,erpnext/translations/es.csv,,,Monto pendiente,,,doctype-json,contable,Cuentas por Cobrar
erpnext,Src,Cost Center,Centro de costos,Centro de Costos,Contabilidad,banking/src/components/features/BankReconciliation/BankEntryModalContent.tsx:567,,DocType/campo,,existente mejorable,,,erpnext,banking/src/components/features/BankReconciliation/BankEntryModalContent.tsx:567,erpnext/translations/es.csv,,,Centro de costos,,,code,contable,Contabilidad
erpnext,Accounts,Sales Invoice,Factura de Venta,Factura de Venta,Ventas,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:63,Accounts Settings,DocType,,existente correcta,,,erpnext,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:63,erpnext/translations/es.csv,,,Factura de venta,,,doctype-controller,comercial,Ventas
erpnext,Accounts,Purchase Invoice,Factura de Compra,Factura de Compra,Compras,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:60,Accounts Settings,DocType,,existente correcta,,,erpnext,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:60,erpnext/translations/es.csv,,,Factura de compra,,,doctype-controller,compras,Compras
erpnext,Accounts,Delivery Note,Nota de entrega,Nota de Entrega,Ventas,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,Pos Invoice Item,DocType,,existente mejorable,,,erpnext,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,erpnext/translations/es.csv,,,Nota de entrega,,,doctype-json,comercial,Ventas
erpnext,Accounts,Issue,Incidencia,Incidencia,Soporte,erpnext/accounts/doctype/share_transfer/share_transfer.json,Share Transfer,workspace/DocType,,existente correcta,Contexto soporte = ticket/incidencia. OJO: 'Issue' como verbo (emitir) requeriría fila con msgctxt.,,erpnext,erpnext/accounts/doctype/share_transfer/share_transfer.json,erpnext/translations/es.csv,,,Incidencia,,,doctype-json,soporte,Soporte
erpnext,Assets,Shift,Cambio,Turno,Manufactura/RRHH,erpnext/assets/doctype/asset/asset.js:396,Asset,campo,,conflicto de contexto,CONFLICTO: en manufactura/RRHH 'Shift' = Turno de trabajo; v16 lo tiene como 'Cambio'. Revisar por contexto.,,erpnext,erpnext/assets/doctype/asset/asset.js:396,erpnext/translations/es.csv,,,Cambio,,,doctype-controller,operativo,Manufactura/RRHH
erpnext,,Entry,,Registro,Transversal,,,término,,ambigua,"AMBIGUA: 'Entry' aislado = registro/asiento/entrada según módulo (Journal Entry, Stock Entry, Timesheet). No imponer traducción global.",,erpnext,,,,,,,,no-encontrada-en-catalogo,operativo,Transversal
erpnext,,Warehouse,,Almacén,Inventarios,,,DocType/campo,,traducción propuesta,,,erpnext,,erpnext/translations/es.csv,,,Almacén,,,no-encontrada-en-catalogo,inventario,Inventarios
erpnext,Stock,Batch,Lote,Lote,Inventarios,erpnext/stock/doctype/batch/batch.json,Batch,DocType/campo,,existente correcta,,,erpnext,erpnext/stock/doctype/batch/batch.json,erpnext/translations/es.csv,,,Lote,,,doctype-json,inventario,Inventarios
erpnext,Accounts,Serial No,Número de serie,Número de Serie,Inventarios,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,Pos Invoice Item,campo,,existente mejorable,,,erpnext,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,erpnext/translations/es.csv,,,Número de serie,,,doctype-json,inventario,Inventarios
erpnext,Src,Reconcile,Conciliar,Conciliar,Tesorería,banking/src/components/features/BankReconciliation/MatchAndReconcile.tsx:931,,acción,,existente correcta,,,erpnext,banking/src/components/features/BankReconciliation/MatchAndReconcile.tsx:931,erpnext/translations/es.csv,,,Conciliar,,,code,contable,Tesorería
erpnext,Accounts,Tax Category,Categoría de impuestos,Categoría de Impuesto,Fiscal,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,Pos Invoice,DocType/campo,,existente mejorable,Contexto fiscal MX.,,erpnext,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,erpnext/translations/es.csv,,,Categoría de impuestos,,,doctype-json,fiscal,Fiscal
erpnext,Accounts,Payment Terms,Términos de pago,Condiciones de Pago,Ventas/Compras,erpnext/accounts/doctype/payment_terms_template/payment_terms_template.json,Payment Terms Template,campo,,existente mejorable,,,erpnext,erpnext/accounts/doctype/payment_terms_template/payment_terms_template.json,erpnext/translations/es.csv,,,Términos de pago,,,doctype-json,contable,Ventas/Compras
erpnext,Src,Against Account,Contra la cuenta,Cuenta de Contrapartida,Contabilidad,banking/src/components/features/BankReconciliation/BankClearanceSummary.tsx:164,,campo,,existente mejorable,'Cuenta de contrapartida' es el término contable correcto para 'Against Account'.,,erpnext,banking/src/components/features/BankReconciliation/BankClearanceSummary.tsx:164,erpnext/translations/es.csv,,,Contra la cuenta,,,code,contable,Contabilidad
erpnext,Accounts,Is Return,Es un retorno,Es Devolución,Ventas,erpnext/accounts/doctype/pos_invoice_reference/pos_invoice_reference.json,Pos Invoice Reference,campo (check),,existente mejorable,Aquí 'Return' SÍ es Devolución (nota de crédito) — apoya la resolución del conflicto de 'Return'.,,erpnext,erpnext/accounts/doctype/pos_invoice_reference/pos_invoice_reference.json,erpnext/translations/es.csv,,,Es un retorno,,,doctype-json,comercial,Ventas
erpnext,Accounts,Quotation,Cotización,Cotización,Ventas,erpnext/accounts/doctype/sales_invoice/sales_invoice.js:402,Sales Invoice,DocType,,existente correcta,MX: 'Cotización' (no 'Presupuesto').,,erpnext,erpnext/accounts/doctype/sales_invoice/sales_invoice.js:402,erpnext/translations/es.csv,,,Cotización,,,doctype-controller,comercial,Ventas
erpnext,Accounts,Sales Order,Orden de venta (OV),Orden de Venta,Ventas,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json,Journal Entry Account,DocType,,existente mejorable,,,erpnext,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json,erpnext/translations/es.csv,,,Orden de venta (OV),,,doctype-json,comercial,Ventas
erpnext,Accounts,Purchase Order,Orden de compra (OC),Orden de Compra,Compras,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:61,Accounts Settings,DocType,,existente mejorable,,,erpnext,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:61,erpnext/translations/es.csv,,,Orden de compra (OC),,,doctype-controller,compras,Compras
erpnext,Accounts,Material Request,Solicitud de Materiales,Solicitud de Material,Inventarios,erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json,Purchase Invoice Item,DocType,,existente mejorable,,,erpnext,erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json,erpnext/translations/es.csv,,,Solicitud de Materiales,,,doctype-json,inventario,Inventarios
erpnext,Accounts,Item,Producto,Artículo,Inventarios,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,Pos Invoice Item,DocType/campo,,existente mejorable,MX: 'Artículo' o 'Producto'. Revisar consistencia (a veces 'Elemento').,,erpnext,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json,erpnext/translations/es.csv,,,Producto,,,doctype-json,comercial,Inventarios
erpnext,Accounts,Overdue,Atrasado,Vencido,Cuentas por Cobrar,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,Pos Invoice,estado,,existente mejorable,,,erpnext,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,erpnext/translations/es.csv,,,Atrasado,,,doctype-json,contable,Cuentas por Cobrar
erpnext,Accounts,Paid,Pagado,Pagado,Tesorería,erpnext/accounts/doctype/payment_request/payment_request.json,Payment Request,estado,,existente correcta,,,erpnext,erpnext/accounts/doctype/payment_request/payment_request.json,erpnext/translations/es.csv,,,Pagado,,,doctype-json,contable,Tesorería
erpnext,Accounts,Unpaid,Impagado,No Pagado,Cuentas por Cobrar,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,Pos Invoice,estado,,existente mejorable,MX: 'No Pagado' o 'Pendiente de Pago'.,,erpnext,erpnext/accounts/doctype/pos_invoice/pos_invoice.json,erpnext/translations/es.csv,,,Impagado,,,doctype-json,contable,Cuentas por Cobrar
erpnext,Accounts,Accounts Receivable,Cuentas por cobrar,Cuentas por Cobrar,Contabilidad,erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py:12,Account,reporte,,existente mejorable,Reporte contable estándar MX.,,erpnext,erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py:12,erpnext/translations/es.csv,,,Cuentas por cobrar,,,doctype-controller,contable,Contabilidad
erpnext,Accounts,Accounts Payable,Cuentas por Pagar,Cuentas por Pagar,Contabilidad,erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py:154,Account,reporte,,existente correcta,,,erpnext,erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py:154,erpnext/translations/es.csv,,,Cuentas por pagar,,,doctype-controller,contable,Contabilidad
erpnext,Public,Stock Ledger,Mayor de Inventarios,Kardex,Inventarios,erpnext/public/js/controllers/stock_controller.js:67,,reporte,,requiere revisión especializada,MX: 'Stock Ledger' suele llamarse 'Kardex'. Decisión de terminología (vs 'Libro de Inventario').,,erpnext,erpnext/public/js/controllers/stock_controller.js:67,erpnext/translations/es.csv,,,Mayor de Inventarios,,,client-js,inventario,Inventarios
erpnext,Accounts,Fiscal Year,Año fiscal,Ejercicio Fiscal,Contabilidad,erpnext/accounts/doctype/fiscal_year/fiscal_year.json,Fiscal Year,DocType/campo,,existente mejorable,MX contable/fiscal: 'Ejercicio Fiscal'.,,erpnext,erpnext/accounts/doctype/fiscal_year/fiscal_year.json,erpnext/translations/es.csv,,,Año fiscal,,,doctype-json,contable,Contabilidad
erpnext,Accounts,Balance Sheet,Hoja de balance,Balance General,Contabilidad,erpnext/accounts/doctype/account/account.json,Account,reporte,,existente mejorable,MX: 'Balance General' (o 'Estado de Situación Financiera').,,erpnext,erpnext/accounts/doctype/account/account.json,erpnext/translations/es.csv,,,Hoja de balance,,,doctype-json,contable,Contabilidad
erpnext,Accounts,Profit and Loss Statement,Cuenta de pérdidas y ganancias,Estado de Resultados,Contabilidad,erpnext/accounts/doctype/financial_report_template/financial_report_template.json,Financial Report Template,reporte,,existente mejorable,MX: 'Estado de Resultados'.,,erpnext,erpnext/accounts/doctype/financial_report_template/financial_report_template.json,erpnext/translations/es.csv,,,Cuenta de pérdidas y ganancias,,,doctype-json,contable,Contabilidad
erpnext,Accounts,Selling,Ventas,Ventas,Ventas,erpnext/accounts/doctype/pricing_rule/pricing_rule.json,Pricing Rule,workspace,,existente correcta,,,erpnext,erpnext/accounts/doctype/pricing_rule/pricing_rule.json,erpnext/translations/es.csv,,,Ventas,,,doctype-json,comercial,Ventas
erpnext,Accounts,Buying,Compras,Compras,Compras,erpnext/accounts/doctype/pricing_rule/pricing_rule.json,Pricing Rule,workspace,,existente correcta,,,erpnext,erpnext/accounts/doctype/pricing_rule/pricing_rule.json,erpnext/translations/es.csv,,,Compras,,,doctype-json,compras,Compras
erpnext,Accounts,'{0}' has been already added.,'{0}' ya ha sido añadido.,'{0}' ya ha sido añadido.,Transversal,erpnext/accounts/doctype/pos_settings/pos_settings.py:44,Pos Settings,mensaje de validación,,existente correcta,Placeholder {0} preservado correctamente en la traducción actual.,,erpnext,erpnext/accounts/doctype/pos_settings/pos_settings.py:44,,{0},,,,,doctype-controller,todos,Transversal
erpnext,Controllers,'Default {0} Account' in Company {1},'Cuenta {0} Predeterminada' en la Compañía {1},'Cuenta {0} Predeterminada' en la Compañía {1},Contabilidad,erpnext/controllers/accounts_controller.py:2419,,mensaje de validación,,existente correcta,Dos placeholders {0} {1} preservados. MX: 'Compañía'→'Empresa' a revisar por consistencia.,,erpnext,erpnext/controllers/accounts_controller.py:2419,erpnext/translations/es.csv,{0};{1},,'Cuenta {0} Predeterminada' en la Compañía {1},,,python,contable,Contabilidad
erpnext,Accounts,0-30,0-30,0-30,Contabilidad,erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py:114,,opción/rango (reporte),,existente mejorable,'Igual al inglés' pero CORRECTO: es un rango numérico de antigüedad de saldos; no se traduce. Traducción actual IGUAL al inglés (sin traducir efectivamente).,,erpnext,erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py:114,,,,,,,report,contable,Contabilidad
hrms,Hr,Leave,Salir,Ausencia,Recursos Humanos,hrms/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py:734,,campo/label,,existente mejorable,"ERROR de contexto en v16: 'Leave' está como 'Salir'. En RRHH 'Leave' = Ausencia/Permiso, no salir.",,hrms,hrms/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py:734,hrms/translations/es.csv,,,Salir,,,report,rrhh,Recursos Humanos
hrms,Hr,Leave Application,Solicitud de vacaciones,Solicitud de Ausencia,Recursos Humanos,hrms/hr/doctype/attendance/attendance.json,Attendance,DocType/título,,existente mejorable,v16: 'Solicitud de vacaciones' (impreciso: 'Leave' cubre más que vacaciones). 'Ausencia' más general.,,hrms,hrms/hr/doctype/attendance/attendance.json,hrms/translations/es.csv,,,Solicitud de Licencia,,,doctype-json,rrhh,Recursos Humanos
hrms,Src,Leave Type,Tipo de Vacaciones,Tipo de Ausencia,Recursos Humanos,frontend/src/views/leave/List.vue:41,,DocType/campo,,existente mejorable,,,hrms,frontend/src/views/leave/List.vue:41,hrms/translations/es.csv,,,Tipo de Licencia,,,code,rrhh,Recursos Humanos
hrms,Setup.Py,Casual Leave,Permiso ocacional,Permiso Ocasional,Recursos Humanos,hrms/setup.py:347,,opción,,existente mejorable,v15: 'Permiso ocacional' (typo). Corregir a 'Ocasional'; ejemplo de regresión/typo heredado.,,hrms,hrms/setup.py:347,hrms/translations/es.csv,,,Permiso ocacional,,,python,rrhh,Recursos Humanos
hrms,Setup.Py,Sick Leave,Permiso por enfermedad,Incapacidad,Recursos Humanos,hrms/setup.py:365,,opción,,requiere revisión especializada,MX: 'Sick Leave' suele ser 'Incapacidad' (IMSS) vs 'Permiso por enfermedad'. Decisión de terminología laboral MX.,,hrms,hrms/setup.py:365,hrms/translations/es.csv,,,Permiso por enfermedad,,,python,rrhh,Recursos Humanos
hrms,,Shift,,Turno,Recursos Humanos,,,campo,,traducción propuesta,En RRHH 'Shift' = Turno; refuerza conflicto con erpnext 'Cambio'.,,hrms,,hrms/translations/es.csv,,,Cambio,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,Src,Shift Type,Tipo de Cambio,Tipo de Turno,Recursos Humanos,frontend/src/views/attendance/ShiftAssignmentList.vue:24,,DocType,,existente mejorable,,,hrms,frontend/src/views/attendance/ShiftAssignmentList.vue:24,hrms/translations/es.csv,,,Tipo de Cambio,,,code,rrhh,Recursos Humanos
hrms,,Expense Claim,,Reembolso de Gastos,Recursos Humanos,,,DocType/título,,traducción propuesta,'Claim' aquí = solicitud de reembolso. 'Reembolso de Gastos' más claro que 'Reclamación de gastos'.,,hrms,,hrms/translations/es.csv,,,Reembolso de gastos,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,Src,Attendance,Asistencia,Asistencia,Recursos Humanos,frontend/src/components/BottomTabs.vue:48,,DocType,,existente correcta,v15: Asistencia.,,hrms,frontend/src/components/BottomTabs.vue:48,hrms/translations/es.csv,,,Asistencia,,,code,rrhh,Recursos Humanos
hrms,Hr,Salary Slip,,Recibo de Nómina,Nómina,hrms/hr/doctype/leave_application/leave_application.json,Leave Application,DocType/título,,traducción propuesta,MX: 'Recibo de Nómina' (CFDI de nómina) preferible a 'Nómina'/'Boleta'.,,hrms,hrms/hr/doctype/leave_application/leave_application.json,,,,,,,doctype-json,rrhh,Nómina
hrms,,Payroll Entry,,Procesamiento de Nómina,Nómina,,,DocType,,traducción propuesta,'Entry' aquí = corrida/procesamiento de nómina.,,hrms,,hrms/translations/es.csv,,,Entrada de Nómina,,,no-encontrada-en-catalogo,rrhh,Nómina
hrms,,Employee,,Empleado,Recursos Humanos,,,DocType,,traducción propuesta,,,hrms,,hrms/translations/es.csv,,,Empleado,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,,Holiday List,,Calendario de Días Festivos,Recursos Humanos,,,DocType,,traducción propuesta,,,hrms,,hrms/translations/es.csv,,,Lista de festividades,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,,Claim,,Solicitud,Recursos Humanos,,,término,,ambigua,AMBIGUA: 'Claim' aislado = reembolso (Expense Claim) o reclamación. No traducir global.,,hrms,,,,,,,,no-encontrada-en-catalogo,rrhh,Recursos Humanos
hrms,Src,Half Day,Medio Día,Medio Día,Recursos Humanos,frontend/src/components/AttendanceCalendar.vue:80,,opción/estado,,existente correcta,,,hrms,frontend/src/components/AttendanceCalendar.vue:80,hrms/translations/es.csv,,,Medio Día,,,code,rrhh,Recursos Humanos
hrms,Src,Present,Presente,Presente,Recursos Humanos,frontend/src/components/AttendanceCalendar.vue:80,,estado,,existente correcta,Estado de asistencia.,,hrms,frontend/src/components/AttendanceCalendar.vue:80,hrms/translations/es.csv,,,Presente,,,code,rrhh,Recursos Humanos
hrms,Src,Absent,Ausente,Ausente,Recursos Humanos,frontend/src/components/AttendanceCalendar.vue:80,,estado,,existente correcta,,,hrms,frontend/src/components/AttendanceCalendar.vue:80,hrms/translations/es.csv,,,Ausente,,,code,rrhh,Recursos Humanos
