entry_key,app,origin_app,module,all_modules,cross_module,functional_domain,source_text,msgid,msgid_plural,msgctxt,current_translation,current_plural_translations,proposed_translation,proposed_plural_translations,context,field_or_action,user_role,source_reference,all_source_references,po_reference,source_kind,doctype_or_view,extracted_comments,placeholders_source,placeholders_current,placeholders_proposed,placeholder_status,flags,pluralization,status,review_status,human_authored,core_candidate,mexico_specific,client_specific,human_notes,historical_reference,historical_translation,notes
crm:9d55fe05356c6800,crm,crm,src,src,,Src,1 week ago,1 week ago,,,Hace 1 semana,,,,,,,frontend/src/utils/index.js:215,frontend/src/utils/index.js:215,frontend/src/utils/index.js:215,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:276fd1d62465e9b7,crm,crm,src,src,,Src,1 year ago,1 year ago,,,Hace 1 año,,,,,,,frontend/src/utils/index.js:223,frontend/src/utils/index.js:223,frontend/src/utils/index.js:223,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:db99faa14dbab065,crm,crm,fcrm,fcrm,,Fcrm,1-10,1-10,,,1-10,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,igual al inglés válida,pendiente de segunda revisión,,,,,,,,
crm:c0e0e3b970f58b59,crm,crm,fcrm,fcrm,,Fcrm,1000+,1000+,,,más de 1.000,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:4d313d441a18ff6a,crm,crm,fcrm,fcrm,,Fcrm,11-50,11-50,,,11 a 50,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:86155862b45e5b01,crm,crm,fcrm,fcrm,,Fcrm,201-500,201-500,,,201-500,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,igual al inglés válida,pendiente de segunda revisión,,,,,,,,
crm:b5b8cfe30949f4c9,crm,crm,fcrm,fcrm,,Fcrm,501-1000,501-1000,,,501-1000,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,igual al inglés válida,pendiente de segunda revisión,,,,,,,,
crm:09c6f314fad94442,crm,crm,fcrm,fcrm,,Fcrm,51-200,51-200,,,51-200,,,,Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal',opción de campo select,,crm/fcrm/doctype/crm_deal/crm_deal.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,crm/fcrm/doctype/crm_deal/crm_deal.json || crm/fcrm/doctype/crm_lead/crm_lead.json || crm/fcrm/doctype/crm_organization/crm_organization.json,doctype-json,Crm Deal,"[""Option for the 'No. of Employees' (Select) field in DocType 'CRM Deal'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Lead'"", ""Option for the 'No. of Employees' (Select) field in DocType 'CRM Organization'""]",,,,,,,igual al inglés válida,pendiente de segunda revisión,,,,,,,,
crm:562e1e7faaa866d5,crm,crm,fcrm,fcrm,,Fcrm,<b>META</b>,<b>META</b>,,,<b>META</b>,,,,Paragraph text in the Frappe CRM Workspace,elemento de workspace,,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,workspace,Frappe CRM (Workspace),"[""Paragraph text in the Frappe CRM Workspace""]",,,,,,,igual al inglés requiere revisión,pendiente de segunda revisión,,,,,,,,
crm:8abe552ced959a66,crm,crm,fcrm,fcrm,,Fcrm,<b>SHORTCUTS</b>,<b>SHORTCUTS</b>,,,<b>ATAJOS</b>,,,,Paragraph text in the Frappe CRM Workspace,elemento de workspace,,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,workspace,Frappe CRM (Workspace),"[""Paragraph text in the Frappe CRM Workspace""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:1b73b41dfe301700,crm,crm,src,src,,Src,"<p>Dear {{ lead_name }},</p>\n\n<p>This is a reminder for the payment of {{ grand_total }}.</p>\n\n<p>Thanks,</p>\n<p>Frappé</p>","<p>Dear {{ lead_name }},</p>\n\n<p>This is a reminder for the payment of {{ grand_total }}.</p>\n\n<p>Thanks,</p>\n<p>Frappé</p>",,,"<p>Estimado(a) {{ lead_name }},</p>\n\n<p>Este es un recordatorio para el pago de {{ grand_total }}.</p>\n\n<p>Gracias,</p>\n<p>Frappé</p>",,,,,,,frontend/src/components/Settings/EmailTemplate/EditEmailTemplate.vue:94,frontend/src/components/Settings/EmailTemplate/EditEmailTemplate.vue:94 || frontend/src/components/Settings/EmailTemplate/NewEmailTemplate.vue:95,frontend/src/components/Settings/EmailTemplate/EditEmailTemplate.vue:95 || frontend/src/components/Settings/EmailTemplate/NewEmailTemplate.vue:95,client-js,,[],{{ grand_total }};{{ lead_name }},{{ grand_total }};{{ lead_name }},,ok,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:13baa6b89bedbf8c,crm,crm,fcrm,fcrm,,Fcrm,"<span class=""h5""><b>PORTAL</b></span>","<span class=""h5""><b>PORTAL</b></span>",,,"<span class=""h5""><b>PORTAL</b></span>",,,,Header text in the Frappe CRM Workspace,elemento de workspace,,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,crm/fcrm/workspace/frappe_crm/frappe_crm.json,workspace,Frappe CRM (Workspace),"[""Header text in the Frappe CRM Workspace""]",,,,,,,igual al inglés requiere revisión,pendiente de segunda revisión,,,,,,,,
crm:dca5387463d0b522,crm,crm,src,src,,Src,"@John, can you please check this?","@John, can you please check this?",,,"@John, ¿Puedes comprobar esto por favor?",,,,,,,frontend/src/components/CommunicationArea.vue:80,frontend/src/components/CommunicationArea.vue:80,frontend/src/components/CommunicationArea.vue:80,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:355895be54333d4f,crm,crm,fcrm,fcrm,,Fcrm,A Lead requires either a person's name or an organization's name,A Lead requires either a person's name or an organization's name,,,Un cliente potencial requiere el nombre de una persona o el nombre de una organización,,,,,,,crm/fcrm/doctype/crm_lead/crm_lead.py:130,crm/fcrm/doctype/crm_lead/crm_lead.py:130,crm/fcrm/doctype/crm_lead/crm_lead.py:125,doctype-controller,Crm Lead,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:dfdb48c9c591ddab,crm,crm,lead_syncing,lead_syncing,,Lead_Syncing,A lead sync source is already enabled for this Facebook Lead Form!,A lead sync source is already enabled for this Facebook Lead Form!,,,¡Ya se ha habilitado una fuente de sincronización de clientes potenciales para este formulario de clientes potenciales de Facebook!,,,,,,,crm/lead_syncing/doctype/lead_sync_source/lead_sync_source.py:49,crm/lead_syncing/doctype/lead_sync_source/lead_sync_source.py:49,crm/lead_syncing/doctype/lead_sync_source/lead_sync_source.py:49,doctype-controller,Lead Sync Source,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:db5405d7225293f3,crm,crm,templates,templates,,Templates,A new account has been created for you at {0},A new account has been created for you at {0},,,Una nueva cuenta ha sido creada para usted en {0},,,,,,,crm/templates/emails/helpdesk_invitation.html:5,crm/templates/emails/helpdesk_invitation.html:5,crm/templates/emails/helpdesk_invitation.html:5,jinja-html,,[],{0},{0},,ok,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:5de0e2ba800ef56b,crm,crm,domain_enrichment,domain_enrichment,,Domain_Enrichment,A substring (default) or a regular expression matched against the rule's match scope.,A substring (default) or a regular expression matched against the rule's match scope.,,,,,,,Description of the 'Pattern' (Data) field in DocType 'CRM Enrichment Rule Pattern',descripción,,crm/domain_enrichment/doctype/crm_enrichment_rule_pattern/crm_enrichment_rule_pattern.json,crm/domain_enrichment/doctype/crm_enrichment_rule_pattern/crm_enrichment_rule_pattern.json,,doctype-json,Crm Enrichment Rule Pattern,"[""Description of the 'Pattern' (Data) field in DocType 'CRM Enrichment Rule Pattern'""]",,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,"POT-only: en el universo fresco, sin traducir"
crm:4b276a632c8a730d,crm,crm,fcrm,fcrm,,Fcrm,A valid call log is required.,A valid call log is required.,,,,,,,,,,crm/fcrm/doctype/crm_call_log/crm_call_log.py:257,crm/fcrm/doctype/crm_call_log/crm_call_log.py:257,crm/fcrm/doctype/crm_call_log/crm_call_log.py:257,doctype-controller,Crm Call Log,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:1ef2e31aab3b2bd9,crm,crm,domain_enrichment,domain_enrichment,,Domain_Enrichment,A website is required.,A website is required.,,,,,,,,,,crm/domain_enrichment/api.py:112,crm/domain_enrichment/api.py:112,,python,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,"POT-only: en el universo fresco, sin traducir"
crm:42fa249bfc9c70bc,crm,crm,src,src,,Src,A {0} cannot report to a {1},A {0} cannot report to a {1},,,,,,,,,,frontend/src/components/Settings/Hierarchy/useDragDrop.js:69,frontend/src/components/Settings/Hierarchy/useDragDrop.js:69,frontend/src/components/Settings/Hierarchy/useDragDrop.js:69,client-js,,[],{0};{1},,,ok,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:b56a2e68173d7785,crm,crm,fcrm,fcrm;src,sí,Fcrm,API Key,API Key,,,Clave de API,,,,Label of the api_key (Data) field in DocType 'CRM Exotel Settings',etiqueta de campo/elemento,,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || crm/fcrm/doctype/erpnext_crm_settings/erpnext_crm_settings.json || frontend/src/components/Settings/ERPNextSettings.vue:80 || frontend/src/components/Settings/Telephony/ExotelSettings.vue:45 || frontend/src/components/Settings/emailConfig.js:87,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || crm/fcrm/doctype/erpnext_crm_settings/erpnext_crm_settings.json || frontend/src/components/Settings/ERPNextSettings.vue:80 || frontend/src/components/Settings/Telephony/ExotelSettings.vue:45 || frontend/src/components/Settings/emailConfig.js:87,doctype-json,Crm Exotel Settings,"[""Label of the api_key (Data) field in DocType 'CRM Exotel Settings'"", ""Label of the api_key (Data) field in DocType 'CRM Twilio Settings'"", ""Label of the api_key (Data) field in DocType 'ERPNext CRM Settings'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:3b73ba629ba60038,crm,crm,fcrm,fcrm;src,sí,Fcrm,API Secret,API Secret,,,Secreto API,,,,Label of the api_secret (Password) field in DocType 'CRM Twilio Settings',etiqueta de campo/elemento,,crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json,crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || crm/fcrm/doctype/erpnext_crm_settings/erpnext_crm_settings.json || frontend/src/components/Settings/ERPNextSettings.vue:88 || frontend/src/components/Settings/emailConfig.js:93,crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || crm/fcrm/doctype/erpnext_crm_settings/erpnext_crm_settings.json || frontend/src/components/Settings/ERPNextSettings.vue:88 || frontend/src/components/Settings/emailConfig.js:93,doctype-json,Crm Twilio Settings,"[""Label of the api_secret (Password) field in DocType 'CRM Twilio Settings'"", ""Label of the api_secret (Password) field in DocType 'ERPNext CRM Settings'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:4d650308b9ade2ca,crm,crm,fcrm,fcrm;src,sí,Fcrm,API Token,API Token,,,API Token,,,,Label of the api_token (Password) field in DocType 'CRM Exotel Settings',etiqueta de campo/elemento,,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || frontend/src/components/Settings/Telephony/ExotelSettings.vue:53,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || frontend/src/components/Settings/Telephony/ExotelSettings.vue:53,doctype-json,Crm Exotel Settings,"[""Label of the api_token (Password) field in DocType 'CRM Exotel Settings'""]",,,,,,,igual al inglés requiere revisión,pendiente de segunda revisión,,,,,,,,
crm:25141119ade2a53e,crm,crm,src,src,,Src,API key is required,API key is required,,,,,,,,,,frontend/src/components/Settings/ERPNextSettings.vue:509,frontend/src/components/Settings/ERPNextSettings.vue:509 || frontend/src/components/Settings/emailConfig.js:192,frontend/src/components/Settings/ERPNextSettings.vue:500 || frontend/src/components/Settings/emailConfig.js:192,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:03bb71901c0d4855,crm,crm,src,src,,Src,API secret is required,API secret is required,,,,,,,,,,frontend/src/components/Settings/ERPNextSettings.vue:512,frontend/src/components/Settings/ERPNextSettings.vue:512,frontend/src/components/Settings/ERPNextSettings.vue:503,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:3d7d636817c2dfc4,crm,crm,src,src,,Src,Accept,Accept,,,Aceptar,,,,,,,frontend/src/components/Telephony/TwilioCallUI.vue:88,frontend/src/components/Telephony/TwilioCallUI.vue:88,frontend/src/components/Telephony/TwilioCallUI.vue:88,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:a292b351d3a4dc5c,crm,crm,src,src,,Src,Accept Call,Accept Call,,,,,,,,,,frontend/src/components/Telephony/TwilioCallUI.vue:155,frontend/src/components/Telephony/TwilioCallUI.vue:155,frontend/src/components/Telephony/TwilioCallUI.vue:155,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:78406c237c6713c6,crm,crm,fcrm,fcrm,,Fcrm,Accept Invitation,Accept Invitation,,,Aceptar invitación,,,,,,,crm/fcrm/doctype/crm_invitation/crm_invitation.js:7,crm/fcrm/doctype/crm_invitation/crm_invitation.js:7,crm/fcrm/doctype/crm_invitation/crm_invitation.js:7,doctype-controller,Crm Invitation,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:f6430c6ef8003b2d,crm,crm,fcrm,fcrm,,Fcrm,Accepted,Accepted,,,Aceptado,,,,Option for the 'Status' (Select) field in DocType 'CRM Invitation',opción de campo select,,crm/fcrm/doctype/crm_invitation/crm_invitation.json,crm/fcrm/doctype/crm_invitation/crm_invitation.json,crm/fcrm/doctype/crm_invitation/crm_invitation.json,doctype-json,Crm Invitation,"[""Option for the 'Status' (Select) field in DocType 'CRM Invitation'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:9e249dafe7fde46b,crm,crm,fcrm,fcrm,,Fcrm,Accepted At,Accepted At,,,Aceptado a las,,,,Label of the accepted_at (Datetime) field in DocType 'CRM Invitation',etiqueta de campo/elemento,,crm/fcrm/doctype/crm_invitation/crm_invitation.json,crm/fcrm/doctype/crm_invitation/crm_invitation.json,crm/fcrm/doctype/crm_invitation/crm_invitation.json,doctype-json,Crm Invitation,"[""Label of the accepted_at (Datetime) field in DocType 'CRM Invitation'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:ee381baf35a1b49a,crm,crm,src,src,,Src,Access Denied,Access Denied,,,Acceso denegado,,,,,,,frontend/src/pages/NotPermitted.vue:7,frontend/src/pages/NotPermitted.vue:7,frontend/src/pages/NotPermitted.vue:7,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:4c05bf198e0720c4,crm,crm,fcrm,fcrm;src,sí,Fcrm,Access Key,Access Key,,,Clave de Acceso,,,,Label of the access_key (Data) field in DocType 'FCRM Settings',etiqueta de campo/elemento,,crm/fcrm/doctype/fcrm_settings/fcrm_settings.json,crm/fcrm/doctype/fcrm_settings/fcrm_settings.json || frontend/src/components/Settings/DashboardSettings.vue:135,crm/fcrm/doctype/fcrm_settings/fcrm_settings.json || frontend/src/components/Settings/DashboardSettings.vue:135,doctype-json,Fcrm Settings,"[""Label of the access_key (Data) field in DocType 'FCRM Settings'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:5cf4c4baca50696f,crm,crm,api,api,,Api,Access Key is required for Service Provider: {0},Access Key is required for Service Provider: {0},,,Se requiere clave de acceso para el proveedor de servicios: {0},,,,,,,crm/api/exchange_rate.py:114,crm/api/exchange_rate.py:114 || crm/api/exchange_rate.py:98,crm/api/exchange_rate.py:98 || crm/api/exchange_rate.py:114,python,,[],{0},{0},,ok,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:1e64affc37b6733d,crm,crm,lead_syncing,lead_syncing;src,sí,Lead_Syncing,Access Token,Access Token,,,Llave de Acceso,,,,Label of the access_token (Password) field in DocType 'Lead Sync Source',etiqueta de campo/elemento,,crm/lead_syncing/doctype/facebook_page/facebook_page.json,crm/lead_syncing/doctype/facebook_page/facebook_page.json || crm/lead_syncing/doctype/lead_sync_source/lead_sync_source.json || frontend/src/components/Settings/LeadSyncing/LeadSyncSourceForm.vue:90 || frontend/src/components/Settings/LeadSyncing/leadSyncSourceConfig.js:29,crm/lead_syncing/doctype/facebook_page/facebook_page.json || crm/lead_syncing/doctype/lead_sync_source/lead_sync_source.json || frontend/src/components/Settings/LeadSyncing/LeadSyncSourceForm.vue:90 || frontend/src/components/Settings/LeadSyncing/leadSyncSourceConfig.js:29,doctype-json,Facebook Page,"[""Label of the access_token (Password) field in DocType 'Lead Sync Source'"", ""Label of the access_token (Small Text) field in DocType 'Facebook Page'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:736495f921d9faea,crm,crm,lead_syncing,lead_syncing,,Lead_Syncing,Access token is required,Access token is required,,,Se requiere un token de acceso,,,,,,,crm/lead_syncing/doctype/lead_sync_source/facebook.py:145,crm/lead_syncing/doctype/lead_sync_source/facebook.py:145,crm/lead_syncing/doctype/lead_sync_source/facebook.py:145,doctype-controller,Lead Sync Source,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:303c2af4d708c5b9,crm,crm,lead_syncing,lead_syncing,,Lead_Syncing,Account ID,Account ID,,,ID de la cuenta,,,,Label of the account_id (Data) field in DocType 'Facebook Page',etiqueta de campo/elemento,,crm/lead_syncing/doctype/facebook_page/facebook_page.json,crm/lead_syncing/doctype/facebook_page/facebook_page.json,crm/lead_syncing/doctype/facebook_page/facebook_page.json,doctype-json,Facebook Page,"[""Label of the account_id (Data) field in DocType 'Facebook Page'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:336f60cbbbd89d37,crm,crm,src,src,,Src,Account Info & Security,Account Info & Security,,,,,,,,,,frontend/src/components/Settings/Profile/ProfileSettings.vue:91,frontend/src/components/Settings/Profile/ProfileSettings.vue:91,frontend/src/components/Settings/Profile/ProfileSettings.vue:91,client-js,,[],,,,,,,sin traducción,pendiente de segunda revisión,,,,,,,,
crm:17bfd55b31d4897f,crm,crm,src,src,,Src,Account Name,Account Name,,,Nombre de la Cuenta,,,,,,,frontend/src/components/Settings/emailConfig.js:13,frontend/src/components/Settings/emailConfig.js:13,frontend/src/components/Settings/emailConfig.js:13,client-js,,[],,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
crm:c3c1f5aa81b181c5,crm,crm,fcrm,fcrm;src,sí,Fcrm,Account SID,Account SID,,,SID de cuenta,,,,Label of the account_sid (Data) field in DocType 'CRM Exotel Settings',etiqueta de campo/elemento,,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || frontend/src/components/Settings/Telephony/ExotelSettings.vue:59 || frontend/src/components/Settings/Telephony/TwilioSettings.vue:45,crm/fcrm/doctype/crm_exotel_settings/crm_exotel_settings.json || crm/fcrm/doctype/crm_twilio_settings/crm_twilio_settings.json || frontend/src/components/Settings/Telephony/ExotelSettings.vue:59 || frontend/src/components/Settings/Telephony/TwilioSettings.vue:45,doctype-json,Crm Exotel Settings,"[""Label of the account_sid (Data) field in DocType 'CRM Exotel Settings'"", ""Label of the account_sid (Data) field in DocType 'CRM Twilio Settings'""]",,,,,,,pendiente de segunda revisión,pendiente de segunda revisión,,,,,,,,
