tipo,confianza,entry_key,msgid,proposed,current,detalle
glosario_desviado,baja,helpdesk:6f19185f3cc46f6f,Reply From Contact,Respuesta del contacto,Respuesta del contacto,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:0d61b53a71cb3aa5,Reply from agent,Respuesta del agente,Respuesta del agente,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:968aa2bdfdc1d46d,Reply from contact,Respuesta del contacto,Respuesta del contacto,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:6531b304b8ed3e1c,Saved reply deleted successfully.,Respuesta guardada eliminada con éxito.,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:020525e056dc4209,Saved reply duplicated successfully.,Respuesta guardada duplicada con éxito.,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:56192a4dff2ec6c9,Saved reply saved successfully.,Respuesta guardada guardada con éxito.,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:10b40e9bc8fb1908,Saved reply updated successfully.,Respuesta guardada actualizada con éxito.,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:390efa5d2d8b8550,Send Reply,Enviar respuesta,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:d836a69f1a309050,Sent to the user who has raised the ticket after the ticket is closed or resolve,Enviado al usuario que ha generado el ticket después de cerrar o resolver el tic,Enviado al usuario que ha generado el ticket despu,Resolved->raíz 'resuelt' ausente
glosario_desviado,baja,helpdesk:5394cff9d8657f77,"Simple Python Expression, Example: doc.status == 'Open' and doc.ticket_type == '","Expresión Python simple, Ejemplo: doc.status == 'Open' and doc.ticket_type == 'B","Expresión Python simple, Ejemplo: doc.status == 'A",Status->raíz 'estado' ausente
glosario_desviado,baja,helpdesk:c7fe5931fa43d695,Some error occurred while renaming saved reply,Ocurrió un error al renombrar la respuesta guardada,,Reply->raíz 'respond' ausente
glosario_desviado,baja,helpdesk:42549767393173c5,Ticket must be resolved with a feedback,El ticket debe resolverse con comentarios,El ticket debe resolverse con un comentario,Resolved->raíz 'resuelt' ausente
glosario_desviado,baja,helpdesk:512682a4f1cd1263,Write your reply...,Escriba su respuesta...,,Reply->raíz 'respond' ausente
