app,doctype_tecnico,es_actual,es_propuesta,entry_key,referencias,cambio_visible,impacto_cursos_docs,estado
erpnext,Asset Finance Book,Libro de Finanzas de Activos,Libro Financiero de Activos,erpnext:20a0480ac3476d77,erpnext/assets/doctype/asset_finance_book/asset_finance_book.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Movement Item,Elemento de movimiento de activos,Artículo de Movimiento de Activo,erpnext:8bab53836aa1e718,erpnext/assets/doctype/asset_movement_item/asset_movement_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Asset Repair Purchase Invoice,Factura de compra Reparación de Activo,Factura de Compra de Reparación de Activo,erpnext:67557d663caab5bd,erpnext/assets/doctype/asset_repair_purchase_invoice/asset_repair_purchase_invoice.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Purchase Invoice Item,LdM,BOM,erpnext:3e2efa03840a7d08,erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json || erpnext/buying/doctype/buying_settings/buying_settings.json || erpnext/buying/doctype/purchase_order_item/purchase_order_it,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Bom Item,Lista de materiales (LdM) del producto,Artículo de la lista de materiales (BOM),erpnext:98445e9b4c46de77,erpnext/manufacturing/doctype/bom_item/bom_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Bom Secondary Item,,Artículo Secundario de la Lista de Materiales,erpnext:04006c8ac7e498d7,erpnext/manufacturing/doctype/bom_secondary_item/bom_secondary_item.json || erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json || erpnext/stock/report/item_where_used/item_where_used.py:,sí,medio,pendiente de consulta a clientes
erpnext,Bank Account Balance,,Saldo de Cuenta Bancaria,erpnext:1f2e87599c9c9f2e,erpnext/accounts/doctype/bank_account_balance/bank_account_balance.json,sí,medio,pendiente de consulta a clientes
erpnext,Bank Clearance Detail,Detalle de liquidación bancaria,Detalle de Compensación Bancaria,erpnext:fabd232708b9f93d,erpnext/accounts/doctype/bank_clearance_detail/bank_clearance_detail.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Bank Reconciliation Tool,Herramienta de Reconciliación Bancaria,Herramienta de Conciliación Bancaria,erpnext:506c0fca17824948,erpnext/accounts/doctype/bank_reconciliation_tool/bank_reconciliation_tool.json || erpnext/accounts/workspace/invoicing/invoicing.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Bank Statement Import Log,,Registro de Importación de Extractos Bancarios,erpnext:79e5208284d76696,erpnext/accounts/doctype/bank_statement_import_log/bank_statement_import_log.json,sí,medio,pendiente de consulta a clientes
erpnext,Bank Statement Import Log Column Map,,Mapa de Columnas del Registro de Importación de Extractos Bancarios,erpnext:78133d321b0afb99,erpnext/accounts/doctype/bank_statement_import_log_column_map/bank_statement_import_log_column_map.json,sí,medio,pendiente de consulta a clientes
erpnext,Bank Transaction Rule,,Regla de Transacción Bancaria,erpnext:503c0e4fc7514aec,erpnext/accounts/doctype/bank_transaction_rule/bank_transaction_rule.json,sí,medio,pendiente de consulta a clientes
erpnext,Bank Transaction Rule Accounts,,Cuentas de Regla de Transacción Bancaria,erpnext:9401178df268b68f,erpnext/accounts/doctype/bank_transaction_rule_accounts/bank_transaction_rule_accounts.json,sí,medio,pendiente de consulta a clientes
erpnext,Bank Transaction Rule Description Conditions,,Condiciones de Descripción de Regla de Transacción Bancaria,erpnext:fb7eae3e1034fba7,erpnext/accounts/doctype/bank_transaction_rule_description_conditions/bank_transaction_rule_description_conditions.json,sí,medio,pendiente de consulta a clientes
erpnext,Bin,Papelera,Ubicación de inventario,erpnext:7333daa23b184227,erpnext/stock/doctype/bin/bin.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Bisect Accounting Statements,Dividir estados contables,Bisecar Estados Contables,erpnext:c51f7e34eab44fe0,erpnext/accounts/doctype/bisect_accounting_statements/bisect_accounting_statements.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Campaign Item,Artículos de campaña,Artículo de campaña,erpnext:e02cca56dfe6c170,erpnext/accounts/doctype/campaign_item/campaign_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Chart Of Accounts Importer,Importador de plan de cuentas,Importador de Catálogo de Cuentas,erpnext:242acaff9ba9514e,erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.json || erpnext/accounts/workspace/invoicing/invoicing.json || erpnext/setup/workspace/home/home.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Account Closing Balance,Centro de costos,Centro de Costos,erpnext:997a3b276e52376f,banking/src/components/features/BankReconciliation/BankEntryModalContent.tsx:567 || banking/src/components/features/BankReconciliation/BankEntryModalContent.tsx:626 || banking/src/components/features/,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Cost Center Allocation,Asignación de Centro de Costo,Asignación de Centro de Costos,erpnext:8e5674de293cd056,erpnext/accounts/doctype/cost_center_allocation/cost_center_allocation.json || erpnext/accounts/workspace/invoicing/invoicing.json || erpnext/workspace_sidebar/budget.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Coupon Code,Código promocional,Código de Cupón,erpnext:f66fd8dc64d8c50b,erpnext/accounts/doctype/coupon_code/coupon_code.json || erpnext/accounts/doctype/pos_invoice/pos_invoice.json || erpnext/accounts/doctype/sales_invoice/sales_invoice.json || erpnext/selling/doctype/q,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Currency Exchange Settings Result,Resultado de la configuración de cambio de moneda,Resultado de Configuración de Cambio de Moneda,erpnext:3d927b14d9862d73,erpnext/accounts/doctype/currency_exchange_settings_result/currency_exchange_settings_result.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Customer Group Item,Categoría de Cliente,Grupo de Clientes,erpnext:f48c1efeeac76915,erpnext/accounts/doctype/customer_group_item/customer_group_item.json || erpnext/accounts/doctype/loyalty_program/loyalty_program.json || erpnext/accounts/doctype/pos_customer_group/pos_customer_group,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Item,Nota de entrega,Nota de Entrega,erpnext:ee6d55c05c2d5bbe,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json || erpnext/accounts/doctype/sales_invoice/sales_invoice.js:129 || erpnext/accounts/doctype/sales_invoice/sales_invoice.js:434 || erpnext,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Item,Nota de entrega del producto,Nota de entrega del artículo,erpnext:af802f4eebd65b79,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json || erpnext/accounts/doctype/sales_invoice_item/sales_invoice_item.json || erpnext/stock/doctype/delivery_note/delivery_note.json || erpn,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Delivery Schedule Item,,Artículo de programa de entrega,erpnext:741ae7a43281c032,erpnext/selling/doctype/delivery_schedule_item/delivery_schedule_item.json,sí,medio,pendiente de consulta a clientes
erpnext,Asset,Programación de la depreciación,Programa de Depreciación,erpnext:e21630a5efcef64f,erpnext/assets/doctype/asset/asset.json || erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json || erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.j,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Dunning,Tipo de reclamación,Tipo de Requerimiento de Cobro,erpnext:2779009dec3c8fd5,erpnext/accounts/doctype/dunning/dunning.json || erpnext/accounts/doctype/dunning_type/dunning_type.json || erpnext/workspace_sidebar/banking.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Account Closing Balance,Libro de finanzas,Libro Financiero,erpnext:29503dc9018a2b3d,erpnext/accounts/doctype/account_closing_balance/account_closing_balance.json || erpnext/accounts/doctype/finance_book/finance_book.json || erpnext/accounts/doctype/gl_entry/gl_entry.json || erpnext/a,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Financial Report Row,,Fila de Reporte Financiero,erpnext:01015fd7d32aca20,erpnext/accounts/doctype/financial_report_row/financial_report_row.json,sí,medio,pendiente de consulta a clientes
erpnext,Financial Report Template,,Plantilla de Reporte Financiero,erpnext:80474dd5846aff1a,erpnext/accounts/doctype/financial_report_template/financial_report_template.json || erpnext/workspace_sidebar/financial_reports.json,sí,medio,pendiente de consulta a clientes
erpnext,Fiscal Year,Año fiscal,Ejercicio Fiscal,erpnext:0dfcc058a0b911c9,erpnext/accounts/doctype/fiscal_year/fiscal_year.json || erpnext/accounts/doctype/gl_entry/gl_entry.json || erpnext/accounts/doctype/monthly_distribution/monthly_distribution.json || erpnext/accounts/,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Frappe Crm Allowed User,,Usuario permitido de Frappe CRM,erpnext:caa171e962b68028,erpnext/crm/doctype/frappe_crm_allowed_user/frappe_crm_allowed_user.json,sí,medio,pendiente de consulta a clientes
erpnext,Gl Entry,Entrada GL,Asiento de Libro Mayor,erpnext:dffb019dee414cf1,erpnext/accounts/doctype/gl_entry/gl_entry.json || erpnext/accounts/report/general_ledger/general_ledger.py:690,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Installation Note Item,Nota de instalación de elementos,Nota de instalación de artículos,erpnext:e7d97bf9ff179feb,erpnext/selling/doctype/installation_note_item/installation_note_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Item,Producto,Artículo,erpnext:85573858947210d6,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json || erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json || erpnext/accounts/doctype/sales_invoice_item/sales_invoic,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item,Atributos del Producto,Atributo de Artículo,erpnext:7b4d6c6a59332d4f,erpnext/stock/doctype/item/item.json || erpnext/stock/doctype/item_attribute/item_attribute.json || erpnext/stock/doctype/item_variant/item_variant.json || erpnext/stock/workspace/stock/stock.json || ,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Attribute Value,Atributos del Producto,Atributos del Artículo,erpnext:e5ee2bd92747665b,erpnext/stock/doctype/item_attribute_value/item_attribute_value.json || erpnext/stock/doctype/item_variant/item_variant.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Customer Detail,Detalle del producto para el cliente,Detalle del artículo para el cliente,erpnext:fb60b8481cdb7b78,erpnext/stock/doctype/item_customer_detail/item_customer_detail.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Item,Grupo de Productos,Grupo de Artículos,erpnext:161c4620dc909d80,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json || erpnext/accounts/doctype/pos_item_group/pos_item_group.json || erpnext/accounts/doctype/pricing_rule/pricing_rule.json || erpnext/acc,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Manufacturing (Workspace),,Tiempo de entrega del artículo,erpnext:a46faef968c8aa82,erpnext/manufacturing/workspace/manufacturing/manufacturing.json || erpnext/stock/doctype/item_lead_time/item_lead_time.json || erpnext/workspace_sidebar/manufacturing.json,sí,medio,pendiente de consulta a clientes
erpnext,Buying (Workspace),Precio de Productos,Precio del artículo,erpnext:063335254d23dd97,erpnext/buying/workspace/buying/buying.json || erpnext/selling/workspace/selling/selling.json || erpnext/stock/doctype/item_price/item_price.json || erpnext/stock/workspace/stock/stock.json || erpnext,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Quality Inspection Parameter,Parámetro de Inspección de Calidad del producto,Parámetro de inspección de calidad del artículo,erpnext:6aa3f4d2f137c7b9,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json || erpnext/stock/doctype/quality_inspection_template/quality_inspection_template.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Reorder,Reabastecer producto,Reorden de artículo,erpnext:49fea26b5e51660b,erpnext/stock/doctype/item_reorder/item_reorder.json || erpnext/stock/doctype/material_request_item/material_request_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item,Proveedor del Producto,Proveedor del Artículo,erpnext:9cd35c115a53e59f,erpnext/stock/doctype/item/item.json || erpnext/stock/doctype/item_supplier/item_supplier.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Group,Impuestos del Producto,Impuestos del Artículo,erpnext:b15d9d85508f56c1,erpnext/setup/doctype/item_group/item_group.json || erpnext/stock/doctype/item_tax/item_tax.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Variant,Variante del Producto,Variante del artículo,erpnext:243dd48fe834b4d9,erpnext/stock/doctype/item_variant/item_variant.json || erpnext/stock/report/item_where_used/item_where_used.py:385,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Website Specification,Especificación del producto en la WEB,Especificación del artículo en la WEB,erpnext:8f4087ae7bd14dcc,erpnext/stock/doctype/item_website_specification/item_website_specification.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Item Wise Tax Detail,Detalle de Impuestos,Detalle de Impuesto por Artículo,erpnext:b55b0c1e8c217695,erpnext/accounts/doctype/item_wise_tax_detail/item_wise_tax_detail.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Purchase Order Item,Tarjeta de trabajo,Vale de Trabajo,erpnext:53b06bbda4ed1218,erpnext/buying/doctype/purchase_order_item/purchase_order_item.json || erpnext/manufacturing/doctype/bom/bom.json || erpnext/manufacturing/doctype/job_card/job_card.json || erpnext/manufacturing/docty,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Job Card Item,Artículo de Tarjeta de Trabajo,Artículo de Vale de Trabajo,erpnext:ff64a2bf54a8ca60,erpnext/manufacturing/doctype/job_card_item/job_card_item.json || erpnext/stock/doctype/material_request_item/material_request_item.json || erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Job Card Operation,Ficha de trabajo Operación,Operación del Vale de Trabajo,erpnext:ee66148066b7639b,erpnext/manufacturing/doctype/job_card_operation/job_card_operation.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Job Card Scheduled Time,Ficha de trabajo Hora programada,Hora programada del Vale de Trabajo,erpnext:37b8b8a24310febe,erpnext/manufacturing/doctype/job_card_scheduled_time/job_card_scheduled_time.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Job Card Secondary Item,,Artículo secundario del vale de trabajo,erpnext:0aec483f13df3b01,erpnext/manufacturing/doctype/job_card_secondary_item/job_card_secondary_item.json,sí,medio,pendiente de consulta a clientes
erpnext,Job Card Time Log,Registro de tiempo de tarjeta de trabajo,Registro de tiempo de vale de trabajo,erpnext:f1dbad5ab061c78b,erpnext/manufacturing/doctype/job_card_time_log/job_card_time_log.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Accounts Settings,Asiento contable,Asiento Contable,erpnext:55f2af408d7ca165,erpnext/accounts/doctype/accounts_settings/accounts_settings.js:58 || erpnext/accounts/doctype/journal_entry/journal_entry.json || erpnext/accounts/doctype/journal_entry_account/journal_entry_account.,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Journal Entry Template,Plantilla de entrada de diario,Plantilla de Asiento Contable,erpnext:62139e3a1d0b9028,erpnext/accounts/doctype/journal_entry_template/journal_entry_template.json || erpnext/accounts/workspace/invoicing/invoicing.json || erpnext/workspace_sidebar/accounts_setup.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Journal Entry Template Account,Cuenta de plantilla de asiento de diario,Cuenta de Plantilla de Asiento Contable,erpnext:2b20e8df08ddbad4,erpnext/accounts/doctype/journal_entry_template_account/journal_entry_template_account.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Landed Cost Purchase Receipt,Recibo sobre costos de destino estimados,Recibo de compra de costos en destino,erpnext:1e260b154f0b5484,erpnext/stock/doctype/landed_cost_purchase_receipt/landed_cost_purchase_receipt.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Landed Cost Vendor Invoice,,Factura de proveedor de costos de destino estimados,erpnext:de134f6cd7964a21,erpnext/stock/doctype/landed_cost_vendor_invoice/landed_cost_vendor_invoice.json,sí,medio,pendiente de consulta a clientes
erpnext,Purchase Invoice,Comprobante de costos de destino estimados,Comprobante de Costos de Importación,erpnext:3e87e18b068c58e5,erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js:671 || erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.json || erpnext/stock/doctype/purchase_receipt/purchase_receipt.js:88,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Crm Settings,Iniciativa,Lead,erpnext:b5e83a634383effd,erpnext/crm/doctype/crm_settings/crm_settings.json || erpnext/crm/doctype/email_campaign/email_campaign.json || erpnext/crm/doctype/lead/lead.json || erpnext/crm/doctype/prospect_lead/prospect_lead.js,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Ledger Health,Estado del libro mayor,Salud del Libro Mayor,erpnext:959f5f2ffd5fea9c,erpnext/accounts/doctype/ledger_health/ledger_health.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Ledger Health Monitor,Monitor de estado del libro mayor,Monitor de Estado del Libro Mayor,erpnext:0f8ff5b9ab5551d2,erpnext/accounts/doctype/ledger_health_monitor/ledger_health_monitor.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Ledger Merge,Fusión de libro mayor,Fusión de Libro Mayor,erpnext:54d3278727ac1036,erpnext/accounts/doctype/ledger_merge/ledger_merge.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Ledger Merge Accounts,,Cuentas de Fusión de Libro Mayor,erpnext:870e820fe4d27098,erpnext/accounts/doctype/ledger_merge_accounts/ledger_merge_accounts.json,sí,medio,pendiente de consulta a clientes
erpnext,Loyalty Point Entry,Punto de fidelidad,Registro de Puntos de Fidelidad,erpnext:0f741f8840054e84,erpnext/accounts/doctype/loyalty_point_entry/loyalty_point_entry.json || erpnext/selling/workspace/selling/selling.json || erpnext/workspace_sidebar/selling.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Loyalty Point Entry Redemption,Redención de entrada al punto de lealtad,Canje de Registro de Puntos de Lealtad,erpnext:55b3ba19d65e204b,erpnext/accounts/doctype/loyalty_point_entry_redemption/loyalty_point_entry_redemption.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Loyalty Program Collection,Colección del Programa de Lealtad,Colección de Programa de Lealtad,erpnext:1ca12a58a45a79ea,erpnext/accounts/doctype/loyalty_program_collection/loyalty_program_collection.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Manufacturing Settings,Ajustes de Producción,Configuración de Producción,erpnext:9850f6f6f8db4b97,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json || erpnext/manufacturing/workspace/manufacturing/manufacturing.json || erpnext/workspace_sidebar/erpnext_settings.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Master Production Schedule,,Programa Maestro de Producción,erpnext:4a5caafac504cf54,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.json || erpnext/manufacturing/workspace/manufacturing/manufacturing.json || erpnext/workspace_sidebar/manufacturing.,sí,medio,pendiente de consulta a clientes
erpnext,Master Production Schedule Item,,Artículo del Programa Maestro de Producción,erpnext:aba0cb5345bef6e7,erpnext/manufacturing/doctype/master_production_schedule_item/master_production_schedule_item.json,sí,medio,pendiente de consulta a clientes
erpnext,Purchase Invoice Item,Solicitud de Materiales,Solicitud de Material,erpnext:ac7959abcbef5440,erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json || erpnext/buying/doctype/buying_settings/buying_settings.js:45 || erpnext/buying/doctype/purchase_order/purchase_order.js:528,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Purchase Invoice Item,Requisición de Materiales del Producto,Artículo de Solicitud de Material,erpnext:81ac8a4a7e85845f,erpnext/accounts/doctype/purchase_invoice_item/purchase_invoice_item.json || erpnext/buying/doctype/purchase_order_item/purchase_order_item.json || erpnext/buying/doctype/request_for_quotation_item/re,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Invoicing (Workspace),Modo de pago,Forma de Pago,erpnext:e60e6331dd088195,banking/src/components/features/BankReconciliation/RecordPaymentModalContent.tsx:234 || banking/src/components/features/BankReconciliation/RecordPaymentModalContent.tsx:433 || erpnext/accounts/doctype,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Mode Of Payment Account,Modo de pago a cuenta,Cuenta de Modo de Pago,erpnext:1362c3969432a64d,erpnext/accounts/doctype/mode_of_payment_account/mode_of_payment_account.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Monthly Distribution Percentage,Distribución mensual porcentual,Porcentaje de Distribución Mensual,erpnext:e924f6694528a88a,erpnext/accounts/doctype/monthly_distribution_percentage/monthly_distribution_percentage.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Account,Herramienta de Apertura de Creación de Facturas,Herramienta de Creación de Facturas de Apertura,erpnext:fbab3e4e969b5b60,erpnext/accounts/doctype/account/account_tree.js:201 || erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.json || erpnext/accounts/workspace/invoicing/invoicing.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Opening Invoice Creation Tool Item,Apertura de Elemento de Herramienta de Creación de Factura,Artículo de la Herramienta de Creación de Facturas de Apertura,erpnext:cf8a671f1835891a,erpnext/accounts/doctype/opening_invoice_creation_tool_item/opening_invoice_creation_tool_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Opportunity Item,Oportunidad Artículo,Artículo de la oportunidad,erpnext:d10c6254c96e89d3,erpnext/crm/doctype/opportunity_item/opportunity_item.json || erpnext/selling/doctype/quotation/quotation.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Closing Entry,Entrada de cierre de PdV,Asiento de Cierre de PdV,erpnext:36c62080f08a1b44,erpnext/accounts/doctype/pos_closing_entry/pos_closing_entry.json || erpnext/accounts/doctype/pos_invoice_merge_log/pos_invoice_merge_log.json || erpnext/accounts/doctype/pos_opening_entry/pos_opening,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Closing Entry Detail,Detalle de entrada de cierre de POS,Detalle de Entrada de Cierre de POS,erpnext:e139125e2cced513,erpnext/accounts/doctype/pos_closing_entry_detail/pos_closing_entry_detail.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Closing Entry Taxes,Impuestos de entrada al cierre de POS,Impuestos del Asiento de Cierre de PdV,erpnext:533fe35d001b377d,erpnext/accounts/doctype/pos_closing_entry_taxes/pos_closing_entry_taxes.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Item,Artículo de factura POS,Artículo de Factura POS,erpnext:b921367072a3e550,erpnext/accounts/doctype/pos_invoice_item/pos_invoice_item.json || erpnext/accounts/doctype/sales_invoice_item/sales_invoice_item.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
erpnext,Pos Invoice Reference,Referencia de factura de punto de venta,Referencia de Factura PdV,erpnext:7d65e6c5c5d7703c,erpnext/accounts/doctype/pos_invoice_reference/pos_invoice_reference.json,sí,alto (nombre de DocType visible en menús/cursos),pendiente de consulta a clientes
