tipo,confianza,entry_key,msgid,proposed,detalle
crossapp_divergente,media,crm:52599b67984ead44,Quick Filters,Filtros rápidos,aprobado: 'Filtros Rápidos'
crossapp_divergente,media,crm:cd705415dc1edeb1,Read,Leído,aprobado: 'Leer'
crossapp_divergente,media,crm:167130fb79b9e00d,Select View,Seleccione la vista,aprobado: 'Seleccione Vista'
crossapp_divergente,media,crm:8bdf37297e08705c,The holiday on {0} is not between From Date and To Date,El día festivo del {0} no está entre la fecha inicial y la f,aprobado: 'El día de fiesta en {0} no es entre De la fec'
crossapp_divergente,media,crm:e9d3b3cbf45fd033,To,A,aprobado: 'Para'
crossapp_divergente,media,crm:5e6a2a56ff7a6044,To User,Al usuario,aprobado: 'Para el Usuario'
crossapp_divergente,media,crm:c6f257afc3b89c70,Upload Image,Cargar Imagen,aprobado: 'Cargar imagen'
crossapp_divergente,media,crm:b5acaa80f19393f4,Your assignment on {0} {1} has been removed by {2},Su tarea de {0} {1} ha sido eliminada por {2},aprobado: 'Tu tarea de {0} {1} ha sido eliminada por {2}'
crossapp_divergente,media,crm:8eda82c02f68ba09,description,description,aprobado: 'descripción'
glosario_desviado,baja,crm:39896fb835bb0661,Add Assignee,Agregar asignado,Assignee->'responsab' ausente
glosario_desviado,baja,crm:4c9ed21ac97d576f,Assignee Rules,Reglas de asignación,Assignee->'responsab' ausente
glosario_desviado,baja,crm:e7514888ee090c2e,"Simple Python Expression, Example: doc.status == 'Open' and ","Expresión de Python simple, ejemplo: doc.status == 'Open' an",Status->'estado' ausente
glosario_desviado,baja,crm:5cf2f93532db4f0f,"Since you added a new assignee, the {0} has been set to {1}.","Como agregaste un nuevo asignado, {0} se estableció en {1}.",Assignee->'responsab' ausente
glosario_desviado,baja,crm:c21c38f05e4c6af8,"Since you removed {0} from the assignee, the {0} has also be","Como quitaste a {0} de los asignados, también se eliminó {0}",Assignee->'responsab' ausente
glosario_desviado,baja,crm:7660a05281d89a61,"Since you removed {0} from the assignee, the {0} has been ch","Como quitaste a {0} de los asignados, {0} se cambió al sigui",Assignee->'responsab' ausente
protegido_violado,alta,crm:dfdb48c9c591ddab,A lead sync source is already enabled for this Facebook Lead,¡Ya hay una fuente de sincronización de Leads habilitada par,Lead no preservado
protegido_violado,alta,crm:11add8582308e88d,"Add, edit, and manage sources for automatic lead syncing to ","Agregue, edite y gestione fuentes para la sincronización aut",Lead no preservado
protegido_violado,alta,crm:e42a0b61236cf67c,Any failed lead syncs will show up here,Cualquier sincronización fallida de Leads se mostrará aquí,Lead no preservado
protegido_violado,alta,crm:9d90f0a1ce2de4b7,Average deal value of non won/lost deals,Valor promedio de Deals que no están ganados ni perdidos,Deal no preservado
protegido_violado,alta,crm:93f1ae4a90aa641e,Average deal value of ongoing & won deals,Valor promedio de Deals en curso y ganados,Deal no preservado
protegido_violado,alta,crm:f3f858705f5ab1cb,Average deal value of won deals,Valor promedio de Deals ganados,Deal no preservado
protegido_violado,alta,crm:8ef7a7c24a683eba,"Configure how your dashboard calculates, formats, and displa","Configure cómo su tablero calcula, formatea y muestra las mé",Deal no preservado
protegido_violado,alta,crm:b1550f0cc2e87997,Deal generation channel analysis,Análisis de canales de generación de Deals,Deal no preservado
protegido_violado,alta,crm:ac7286eae0fe5bbf,Lead Syncing,Sincronización de Leads,Lead no preservado
protegido_violado,alta,crm:14901118a6d80b45,Lead and deal visibility will no longer be restricted by the,La visibilidad de leads y deals ya no estará restringida por,Lead no preservado
protegido_violado,alta,crm:33752124e33af276,Lead generation channel analysis,Análisis de canales de generación de Leads,Lead no preservado
protegido_violado,alta,crm:be61baf79d463759,Lead sync initiated.,Sincronización de Leads iniciada.,Lead no preservado
protegido_violado,alta,crm:5b55bb8d9affd508,Lost Deal Reasons,Razones de Deals perdidos,Deal no preservado
protegido_violado,alta,crm:6e0525229bc4bc7d,Lost deal reasons,Razones de Deals perdidos,Deal no preservado
protegido_violado,alta,crm:bf161a56d101aef2,Please select a lead gen form before syncing!,¡Seleccione un formulario de captación de leads antes de sin,Lead no preservado
protegido_violado,alta,crm:2f56d98eb2042a64,Restrict Lead and Deal visibility based on the Sales Hierarc,Restringir la visibilidad de Leads y Deals según el árbol de,Lead no preservado
registro_tu,baja,crm:f30441388a439a82,The fieldname on the target doctype to write the value to.,El nombre de campo del DocType destino en el que se escribe ,posible tuteo
