class,decision,ctx,msgid_old,tr_old,msgid_new,proposed_translation,similarity,placeholders,needs_human
rename,reusar,,Some error occurred while creating SLA Policy,Ocurrió un error al crear la política de SLA,Some error occurred while creating SLA policy,Ocurrió un error al crear la política de SLA,1.0,,
rename,reusar,,Assignment Rule Updated,Regla de asignación actualizada,Assignment rule updated,Regla de asignación actualizada,1.0,,
rename,reusar,,Assign Condition is required,La condición de asignación es obligatoria,Assign condition is required,La condición de asignación es obligatoria,1.0,,
rename,reusar,,Invalid Site URL,URL del sitio no válida,Invalid site URL,URL del sitio no válida,1.0,,
rename,reusar,,End Time is required,La hora de finalización es obligatoria,End time is required,La hora de finalización es obligatoria,1.0,,
rename,reusar,,SLA Policy Status Updated,Estado de la política de SLA actualizado,SLA policy status updated,Estado de la política de SLA actualizado,1.0,,
rename,reusar,,Configure Telephony Settings for your CRM,Configure los ajustes de telefonía de su CRM,Configure telephony settings for your CRM,Configure los ajustes de telefonía de su CRM,1.0,,
rename,reusar,,Email Account updated successfully,Cuenta de correo actualizada correctamente,Email account updated successfully,Cuenta de correo actualizada correctamente,1.0,,
rename,reusar,,Assign Conditions are invalid,Las condiciones de asignación no son válidas,Assign conditions are invalid,Las condiciones de asignación no son válidas,1.0,,
rename,reusar,,Error updating Lead Sync Source,Error al actualizar el Lead Sync Source,Error updating lead sync source,Error al actualizar el Lead Sync Source,1.0,,
rename,reusar,,Preferences Updated Successfully,Preferencias actualizadas correctamente,Preferences updated successfully,Preferencias actualizadas correctamente,1.0,,
rename,reusar,,Lead Sync Source created successfully,Lead Sync Source creado correctamente,Lead sync source created successfully,Lead Sync Source creado correctamente,1.0,,
rename,reusar,,Assignment Rule Duplicated,Regla de asignación duplicada,Assignment rule duplicated,Regla de asignación duplicada,1.0,,
rename,reusar,,Error creating Lead Sync Source,Error al crear el Lead Sync Source,Error creating lead sync source,Error al crear el Lead Sync Source,1.0,,
rename,reusar,,Priority {0}: Response Time is required,Prioridad {0}: el tiempo de respuesta es obligatorio,Priority {0}: response time is required,Prioridad {0}: el tiempo de respuesta es obligatorio,1.0,{0},
rename,reusar,,SLA Policy Deleted,Política de SLA eliminada,SLA policy deleted,Política de SLA eliminada,1.0,,
rename,reusar,,You can get your Access Key from ,Puede obtener su clave de acceso en,You can get your access key from ,Puede obtener su clave de acceso en,1.0,,
rename,reusar,,Assignment Rule Deleted,Regla de asignación eliminada,Assignment rule deleted,Regla de asignación eliminada,1.0,,
rename,reusar,,End Time must be after Start Time,La hora de finalización debe ser posterior a la hora de inicio,End time must be after start time,La hora de finalización debe ser posterior a la hora de inicio,1.0,,
rename,reusar,,SLA Policy Name is required,El nombre de la política de SLA es obligatorio,SLA policy name is required,El nombre de la política de SLA es obligatorio,1.0,,
rename,reusar,,SLA Policy Updated,Política de SLA actualizada,SLA policy updated,Política de SLA actualizada,1.0,,
rename,reusar,,Sales Hierarchy enabled,Jerarquía de ventas habilitada,Sales hierarchy enabled,Jerarquía de ventas habilitada,1.0,,
rename,reusar,,Response Time is required,El tiempo de respuesta es obligatorio,Response time is required,El tiempo de respuesta es obligatorio,1.0,,
rename,reusar,,End Date cannot be before start date,La fecha de fin no puede ser anterior a la fecha de inicio,End date cannot be before start date,La fecha de fin no puede ser anterior a la fecha de inicio,1.0,,
rename,reusar,,SLA Policy Duplicated,Política de SLA duplicada,SLA policy duplicated,Política de SLA duplicada,1.0,,
rename,reusar,,End Time must be after Start Time for: {0},La hora de finalización debe ser posterior a la hora de inicio para: {0},End time must be after start time for: {0},La hora de finalización debe ser posterior a la hora de inicio para: {0},1.0,{0},
rename,reusar,,Configure your Twilio Telephony Integration Settings here,Configure aquí los ajustes de integración de telefonía de Twilio,Configure your Twilio telephony integration settings here,Configure aquí los ajustes de integración de telefonía de Twilio,1.0,,
rename,reusar,,Email Already Exists,El correo ya existe,email already exists,El correo ya existe,1.0,,
rename,reusar,,Configure the Exchange Rate Provider for your CRM,Configure el proveedor de tipos de cambio para su CRM,Configure the exchange rate provider for your CRM,Configure el proveedor de tipos de cambio para su CRM,1.0,,
rename,reusar,,Start Date cannot be after end date,La fecha de inicio no puede ser posterior a la fecha de fin,Start date cannot be after end date,La fecha de inicio no puede ser posterior a la fecha de fin,1.0,,
rename,reusar,,Unassign Conditions are invalid,Las condiciones de desasignación no son válidas,Unassign conditions are invalid,Las condiciones de desasignación no son válidas,1.0,,
rename,reusar,,SLA Policy Created,Política de SLA creada,SLA policy created,Política de SLA creada,1.0,,
rename,reusar,,Please select a Priority,Seleccione una prioridad,Please select a priority,Seleccione una prioridad,1.0,,
rename,reusar,,Choose the Email Service Provider you want to configure.,Elija el proveedor de servicios de correo que desea configurar.,Choose the email service provider you want to configure.,Elija el proveedor de servicios de correo que desea configurar.,1.0,,
rename,reusar,,Start Time is required,La hora de inicio es obligatoria,Start time is required,La hora de inicio es obligatoria,1.0,,
rename,reusar,,"Configure your Brand Name, Logo, and Favicon","Configure el nombre de su marca, el logotipo y el favicon","Configure your brand name, logo and favicon","Configure el nombre de su marca, el logotipo y el favicon",0.989,,
rename,reusar,,Setting up Frappe Mail requires you to have an API key and API Secret of your email account. Read more,Para configurar Frappe Mail necesita tener una clave de API y una Clave Secreta de API de su cuenta de correo. Más información,Setting up Frappe Mail requires you to have an API key and API secret for your email account. Read more,Para configurar Frappe Mail necesita tener una clave de API y una Clave Secreta de API de su cuenta de correo. Más información,0.985,,
rename,reusar,,"Failed to update Email Account, Invalid credentials",No se pudo actualizar la cuenta de correo; credenciales no válidas,Failed to update email account: invalid credentials,No se pudo actualizar la cuenta de correo; credenciales no válidas,0.98,,
rename,reusar,,"Failed to create Email Account, Invalid credentials",No se pudo crear la cuenta de correo; credenciales no válidas,Failed to create email account: invalid credentials,No se pudo crear la cuenta de correo; credenciales no válidas,0.98,,
rename,reusar,,Default Calling Medium for Logged In User,Medio de llamada predeterminado para el usuario que inició sesión,Default calling medium for logged-in user,Medio de llamada predeterminado para el usuario que inició sesión,0.976,,
rename,ajustar,,"At least one valid Workday with Workday, Start Time, and End Time is required","Se requiere al menos una jornada laboral válida con jornada, hora de inicio y hora de finalización","At least one valid workday with a day, start time, and end time is required","Se requiere al menos una jornada laboral válida con día, hora de inicio y hora de finalización",0.961,,
rename,reusar,,SLA set as default cannot be disabled,El SLA establecido como predeterminado no se puede deshabilitar,An SLA set as default cannot be disabled,El SLA establecido como predeterminado no se puede deshabilitar,0.961,,
rename,ajustar,,Contact already exists with Email: {0},Ya existe un contacto con el correo: {0},Contact already exists with {0},Ya existe un contacto con {0},0.899,{0},
rename,reusar,,Mobile No. should be a number,El número de móvil debe ser un número,Mobile number should be a number,El número de móvil debe ser un número,0.885,,
rename,ajustar,,Enable the integration to create quotations and auto create customers in ERPNext.,Habilite la integración para crear cotizaciones y crear clientes automáticamente en ERPNext.,Enable the integration to create quotations and more in ERPNext.,Habilite la integración para crear cotizaciones y más en ERPNext.,0.869,,
rename,reusar,,Enter Personal Mobile No.,Ingrese el número de móvil personal,Enter Personal Mobile Number,Ingrese el número de móvil personal,0.868,,
