class,ctx,msgid_new,msgid_old,tr_old,similarity,placeholders,locs
rename,,Assignment rule created,Assignment Rule Created,Regla de asignación creada,1.0,,
rename,,Select a Twilio app for your CRM,Select a Twilio App for your CRM,Seleccione una app de Twilio para su CRM,1.0,,
rename,,Sales hierarchy disabled,Sales Hierarchy disabled,Jerarquía de ventas deshabilitada,1.0,,
rename,,Access key for {0}. Required for fetching exchange rates.,Access Key for {0}. Required for fetching exchange rates.,Clave de acceso para {0}. Necesaria para obtener los tipos de cambio.,1.0,{0},
rename,,Assignment rule {0} updated,Assignment Rule {0} Updated,Regla de asignación {0} actualizada,1.0,{0},
rename,,Email account created successfully,Email Account created successfully,Cuenta de correo creada correctamente,1.0,,
rename,,"I understand, add conditions","I understand, Add Conditions","Entiendo, agregar condiciones",1.0,,
rename,,Some error occurred while creating SLA policy,Some error occurred while creating SLA Policy,Ocurrió un error al crear la política de SLA,1.0,,
rename,,Assignment rule updated,Assignment Rule Updated,Regla de asignación actualizada,1.0,,
rename,,Assign condition is required,Assign Condition is required,La condición de asignación es obligatoria,1.0,,
rename,,Invalid site URL,Invalid Site URL,URL del sitio no válida,1.0,,
rename,,End time is required,End Time is required,La hora de finalización es obligatoria,1.0,,
rename,,SLA policy status updated,SLA Policy Status Updated,Estado de la política de SLA actualizado,1.0,,
rename,,Configure telephony settings for your CRM,Configure Telephony Settings for your CRM,Configure los ajustes de telefonía de su CRM,1.0,,
rename,,Email account updated successfully,Email Account updated successfully,Cuenta de correo actualizada correctamente,1.0,,
rename,,Assign conditions are invalid,Assign Conditions are invalid,Las condiciones de asignación no son válidas,1.0,,
rename,,Error updating lead sync source,Error updating Lead Sync Source,Error al actualizar el Lead Sync Source,1.0,,
rename,,Preferences updated successfully,Preferences Updated Successfully,Preferencias actualizadas correctamente,1.0,,
rename,,Lead sync source created successfully,Lead Sync Source created successfully,Lead Sync Source creado correctamente,1.0,,
rename,,Assignment rule duplicated,Assignment Rule Duplicated,Regla de asignación duplicada,1.0,,
rename,,Error creating lead sync source,Error creating Lead Sync Source,Error al crear el Lead Sync Source,1.0,,
rename,,Priority {0}: response time is required,Priority {0}: Response Time is required,Prioridad {0}: el tiempo de respuesta es obligatorio,1.0,{0},
rename,,SLA policy deleted,SLA Policy Deleted,Política de SLA eliminada,1.0,,
rename,,You can get your access key from ,You can get your Access Key from ,Puede obtener su clave de acceso en,1.0,,
rename,,Assignment rule deleted,Assignment Rule Deleted,Regla de asignación eliminada,1.0,,
rename,,End time must be after start time,End Time must be after Start Time,La hora de finalización debe ser posterior a la hora de inicio,1.0,,
rename,,SLA policy name is required,SLA Policy Name is required,El nombre de la política de SLA es obligatorio,1.0,,
rename,,SLA policy updated,SLA Policy Updated,Política de SLA actualizada,1.0,,
rename,,Sales hierarchy enabled,Sales Hierarchy enabled,Jerarquía de ventas habilitada,1.0,,
rename,,Response time is required,Response Time is required,El tiempo de respuesta es obligatorio,1.0,,
rename,,End date cannot be before start date,End Date cannot be before start date,La fecha de fin no puede ser anterior a la fecha de inicio,1.0,,
rename,,SLA policy duplicated,SLA Policy Duplicated,Política de SLA duplicada,1.0,,
rename,,End time must be after start time for: {0},End Time must be after Start Time for: {0},La hora de finalización debe ser posterior a la hora de inicio para: {0},1.0,{0},
rename,,Configure your Twilio telephony integration settings here,Configure your Twilio Telephony Integration Settings here,Configure aquí los ajustes de integración de telefonía de Twilio,1.0,,
rename,,email already exists,Email Already Exists,El correo ya existe,1.0,,
rename,,Configure the exchange rate provider for your CRM,Configure the Exchange Rate Provider for your CRM,Configure el proveedor de tipos de cambio para su CRM,1.0,,
rename,,Start date cannot be after end date,Start Date cannot be after end date,La fecha de inicio no puede ser posterior a la fecha de fin,1.0,,
rename,,Unassign conditions are invalid,Unassign Conditions are invalid,Las condiciones de desasignación no son válidas,1.0,,
rename,,SLA policy created,SLA Policy Created,Política de SLA creada,1.0,,
rename,,Please select a priority,Please select a Priority,Seleccione una prioridad,1.0,,
rename,,Choose the email service provider you want to configure.,Choose the Email Service Provider you want to configure.,Elija el proveedor de servicios de correo que desea configurar.,1.0,,
rename,,Start time is required,Start Time is required,La hora de inicio es obligatoria,1.0,,
rename,,"Configure your brand name, logo and favicon","Configure your Brand Name, Logo, and Favicon","Configure el nombre de su marca, el logotipo y el favicon",0.989,,
rename,,Setting up Frappe Mail requires you to have an API key and API secret for your email account. Read more,Setting up Frappe Mail requires you to have an API key and API Secret of your email account. Read more,Para configurar Frappe Mail necesita tener una clave de API y una Clave Secreta de API de su cuenta de correo. Más información,0.985,,
rename,,Failed to update email account: invalid credentials,"Failed to update Email Account, Invalid credentials",No se pudo actualizar la cuenta de correo; credenciales no válidas,0.98,,
rename,,Failed to create email account: invalid credentials,"Failed to create Email Account, Invalid credentials",No se pudo crear la cuenta de correo; credenciales no válidas,0.98,,
rename,,Default calling medium for logged-in user,Default Calling Medium for Logged In User,Medio de llamada predeterminado para el usuario que inició sesión,0.976,,
rename,,"At least one valid workday with a day, start time, and end time is required","At least one valid Workday with Workday, Start Time, and End Time is required","Se requiere al menos una jornada laboral válida con jornada, hora de inicio y hora de finalización",0.961,,
rename,,An SLA set as default cannot be disabled,SLA set as default cannot be disabled,El SLA establecido como predeterminado no se puede deshabilitar,0.961,,
rename,,Contact already exists with {0},Contact already exists with Email: {0},Ya existe un contacto con el correo: {0},0.899,{0},
rename,,Mobile number should be a number,Mobile No. should be a number,El número de móvil debe ser un número,0.885,,
rename,,Enable the integration to create quotations and more in ERPNext.,Enable the integration to create quotations and auto create customers in ERPNext.,Habilite la integración para crear cotizaciones y crear clientes automáticamente en ERPNext.,0.869,,
rename,,Enter Personal Mobile Number,Enter Personal Mobile No.,Ingrese el número de móvil personal,0.868,,
